French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
